ID,Density,Distance,Time,Gender,Age,MaritalStatus,HouseholdSize,CHS,OcR,IncomeT,METT,BLanes,MBus,walking_cycling,M_motocycle,M_car,tricycle_taxi,taxi,Secondary_lower,HND,Degree,Posgraduate
1,0,3.5,15,1,43,0,5,2,0,1.4,0,1,1,0,0,0,0,1,0,1,0,0
2,1,3,5,1,36,1,4,2,0,0.45,0.3,0,1,0,0,1,0,0,1,0,0,0
3,1,3,7,1,55,0,4,1,0,1.5,0.03,1,0,0,1,0,0,0,0,1,0,0
4,1,5,10,1,34,0,4,1,0,1.35,0.025,1,0,0,1,0,0,0,0,1,0,0
5,1,3,7,1,48,1,1,6,0,0.75,0.03,1,0,0,1,0,0,0,0,1,0,0
6,1,4,12,1,38,0,4,5,0,1.5,0.12,0,0,0,1,0,0,0,0,1,0,0
7,1,9.2,25,1,44,0,6,0,1,2.85,0.35,1,0,1,0,0,0,0,0,0,1,0
8,1,11,30,1,52,0,3,1,0,1.05,0.085,1,1,0,1,0,0,0,0,0,0,1
9,0,3.4,10,1,36,0,3,1,0,0.85,0.12,1,0,0,1,0,0,0,1,0,0,0
10,1,5,7,1,48,1,1,0,0,1.25,0.15,0,0,1,0,0,0,0,0,1,0,0
11,1,12.5,40,0,27,0,2,0,0,1.3,0.08,1,0,0,1,0,0,0,1,0,0,0
12,1,9.7,28,0,22,1,3,2,0,1.15,0.05,1,0,1,0,0,0,0,0,1,0,0
13,1,2,5,1,46,0,6,4,1,3.25,0.25,0,0,1,0,0,0,0,0,0,1,0
14,1,2,5,1,45,0,5,3,1,4.5,0.12,1,0,1,0,0,0,0,0,0,1,0
15,0,8.1,25,0,36,0,2,0,0,0.4,0.03,1,1,1,0,0,0,0,1,0,0,0
16,1,15,38,1,53,0,7,4,1,4.35,0.1,1,0,1,0,0,0,0,0,0,1,0
17,1,15,40,0,49,1,1,0,0,0.622,0.05,1,0,1,0,0,0,0,1,0,0,0
18,0,3,8,0,38,1,1,0,0,0.602,0.1,1,1,0,1,0,0,0,1,0,0,0
19,1,3,12,1,23,1,1,0,0,1.086,0.042,1,1,0,0,0,1,0,0,1,0,0
20,1,17,45,1,36,0,4,2,1,3.075,0.05,1,0,0,1,0,0,0,0,0,1,0
21,1,13.5,22,1,42,0,3,1,1,3.22,0.05,1,0,0,1,0,0,0,0,0,1,0
22,1,8.5,19,0,48,0,5,3,0,4.2,0.03,0,1,0,0,1,0,0,0,0,0,1
23,0,0.3,5,0,48,1,15,5,0,0.37,0,1,0,0,0,0,0,1,0,0,0,1
24,1,1,5,1,22,1,5,3,0,0.5,0.02,0,1,0,0,0,0,1,0,0,0,1
25,1,4,12,1,35,0,6,3,0,0.35,0.05,0,0,0,1,0,0,0,0,0,0,1
26,0,1,5,0,34,1,1,0,0,0.72,0.02,1,0,0,1,0,0,0,1,0,0,0
27,1,14,35,1,34,0,6,4,1,3.6,0.7,1,0,1,0,0,0,0,0,0,1,0
28,1,2,5,0,40,0,8,5,0,0.65,0.06,0,1,0,0,0,1,0,0,0,0,1
29,0,3,7,1,50,0,6,4,1,2.59,1,0,1,1,0,0,0,0,0,0,1,0
30,1,6.5,12,1,38,0,4,2,1,2.95,0.3,1,1,1,0,0,0,0,0,0,1,0
31,1,6.5,17,0,42,1,7,3,0,1.2,0,0,1,0,0,0,0,1,0,1,0,0
32,1,5,12,1,35,0,7,4,1,3.56,0.5,1,1,1,0,0,0,0,0,0,1,0
33,1,12,28,1,32,0,5,3,1,1.85,0.3,0,0,0,1,0,0,0,0,0,1,0
34,0,5.6,16,1,33,0,6,3,1,3.45,1,1,0,1,0,0,0,0,0,0,1,0
35,0,7.1,18,1,32,0,5,2,1,1.5,0.09,0,1,0,1,0,0,0,0,0,1,0
36,1,3,8,1,36,0,6,3,1,3,0.5,1,1,1,0,0,0,0,0,0,1,0
37,1,5.2,15,1,51,0,5,2,1,4,0.3,1,1,1,0,0,0,0,0,0,1,0
38,1,2.3,7,1,50,0,8,5,1,4.2,0.5,1,0,1,0,0,0,0,0,0,1,0
39,0,2.1,6,1,36,0,4,1,1,3.5,1,1,0,1,0,0,0,0,0,0,1,0
40,1,3.6,12,1,46,0,7,3,1,4.75,0.2,1,0,1,0,0,0,0,0,0,1,0
41,0,15,28,1,51,0,8,4,1,3.75,0.15,0,0,0,1,0,0,0,0,0,1,0
42,1,12,33,1,39,0,6,2,1,2.2,0.2,1,0,1,0,0,0,0,0,1,0,0
43,1,7,12,1,47,0,9,5,1,3.7,0.5,1,1,1,0,0,0,0,0,0,1,0
44,1,1,5,1,40,0,6,3,1,3,0.8,0,0,1,0,0,0,0,0,0,1,0
45,0,10,25,1,40,0,7,4,1,2.6,0.45,1,0,1,0,0,0,0,0,0,1,0
46,1,7,15,1,48,0,6,3,1,4.2,0.6,1,1,1,0,0,0,0,0,0,1,0
47,1,13.5,40,1,38,0,7,4,1,3.35,0.4,1,1,1,0,0,0,0,0,0,1,0
48,1,6,15,0,45,0,8,5,1,3,0.8,0,1,1,0,0,0,0,0,0,1,0
49,1,12.5,33,1,53,0,7,3,1,2.5,0.12,0,0,0,1,0,0,0,0,0,1,0
50,1,5,13,1,42,0,6,2,1,4.5,0.8,0,0,1,0,0,0,0,0,0,1,0
51,1,3.5,10,1,39,0,5,2,1,4.25,0.5,1,0,1,0,0,0,0,0,0,1,0
52,1,4,11,1,43,0,4,1,1,3.45,0.12,0,1,0,1,0,0,0,0,0,1,0
53,1,4,8,1,40,0,5,2,1,4.8,0.3,0,0,0,1,0,0,0,0,0,1,0
54,1,4.5,7,1,38,0,5,3,1,2.25,1,1,0,1,0,0,0,0,0,0,1,0
55,1,1,5,1,43,0,5,2,1,2.35,0.5,1,0,1,0,0,0,0,0,0,1,0
56,1,7.5,20,1,48,0,6,3,1,3.5,0.3,0,1,1,0,0,0,0,0,0,1,0
57,1,1.5,5,0,35,0,8,4,1,3,0.3,1,1,1,0,0,0,0,0,0,1,0
58,1,1,5,1,34,0,6,2,1,3,0.5,0,0,1,0,0,0,0,0,0,1,0
59,1,1,5,1,37,0,4,2,1,3,0.08,0,0,0,1,0,0,0,0,0,1,0
60,0,8.2,20,1,29,0,5,3,1,3.32,0.4,1,0,1,0,0,0,0,0,0,1,0
61,1,7.5,15,1,31,0,8,6,1,4.8,1,1,1,1,0,0,0,0,0,0,1,0
62,0,8.4,22,1,43,0,4,1,1,2.78,0.15,1,0,0,1,0,0,0,0,0,1,0
63,1,10.4,35,1,38,0,6,4,1,3.32,0.6,0,0,1,0,0,0,0,0,0,1,0
64,0,2.1,6,1,36,0,10,6,1,3.232,0.35,0,0,1,0,0,0,0,0,0,1,0
65,1,1.5,5,1,34,0,3,2,1,3,0.2,1,0,1,0,0,0,0,0,0,1,0
66,1,9.2,18,1,33,0,4,2,1,3,0.15,1,0,0,1,0,0,0,0,0,1,0
67,0,3,8,1,52,0,8,3,1,3.35,0.45,1,0,1,0,0,0,0,0,0,1,0
68,1,2.5,7,1,31,0,3,0,0,0.95,0.05,1,1,0,1,0,0,0,1,0,0,0
69,1,3.8,9,1,48,0,6,4,1,3.52,0.5,1,0,1,0,0,0,0,0,0,1,0
70,1,1,5,1,52,0,4,2,1,2.75,0.35,0,0,1,0,0,0,0,0,0,1,0
71,0,2.8,7,1,33,0,3,1,0,1.2,0.05,1,0,0,1,0,0,0,1,0,0,0
72,1,4,25,1,38,0,10,5,1,2.65,0.3,0,0,1,0,0,0,0,0,0,1,0
73,0,6.4,20,1,30,1,2,0,0,1.35,0.12,1,1,0,1,0,0,0,0,1,0,0
74,0,1,3,1,28,1,12,3,0,0.75,0,1,0,0,0,0,0,1,0,1,0,0
75,1,18,50,0,25,1,5,0,0,1.45,0.1,0,0,0,1,0,0,0,0,1,0,0
76,1,4,12,1,26,1,1,0,0,0.5,0.02,1,1,0,0,0,0,1,0,1,0,0
77,1,5,30,1,36,0,2,8,0,0.95,0.06,1,0,0,1,0,0,0,0,0,0,1
78,1,5,20,1,35,0,4,2,1,3.3,0.25,1,1,1,0,0,0,0,0,0,1,0
79,1,7.9,18,0,34,0,4,2,0,0.65,0.05,1,0,0,1,0,0,0,1,0,0,0
80,1,5,30,0,30,0,6,2,0,0.5,0.03,0,0,0,1,0,0,0,1,0,0,0
81,1,8,40,0,33,0,2,0,1,1.85,0.65,0,0,1,0,0,0,0,0,1,0,0
82,0,5,18,0,25,1,7,4,0,0.3,0.09,0,0,0,0,0,1,0,0,0,0,1
83,1,5,20,1,35,0,5,1,0,1.65,0.15,1,0,0,1,0,0,0,0,1,0,0
84,1,17,60,0,29,0,8,4,0,1.35,0.1,0,0,0,1,0,0,0,0,1,0,0
85,0,8,45,1,28,0,3,4,0,1.4,0.08,0,1,0,1,0,0,0,0,1,0,0
86,0,9.5,30,1,29,0,2,0,0,0.98,0.2,1,0,0,1,0,0,0,1,0,0,0
87,0,15,40,1,30,0,1,0,0,1.5,0.6,0,1,0,1,0,0,0,0,1,0,0
88,0,13,60,0,26,1,6,1,0,1.2,0.05,1,1,0,1,0,0,0,1,0,0,0
89,1,18,65,1,30,1,3,1,0,0.85,0.3,1,0,0,1,0,0,0,1,0,0,0
90,1,14,30,0,22,1,1,0,0,0.7,0.2,0,1,0,0,0,1,0,0,1,0,0
91,1,15,20,1,28,1,2,1,0,3.52,0.5,0,1,1,0,0,0,0,0,0,1,0
92,0,16.5,60,1,27,1,7,3,0,0.7,0.2,0,0,0,1,0,0,0,1,0,0,0
93,1,12.5,35,1,30,0,3,1,0,0.75,0.2,0,0,0,1,0,0,0,0,1,0,0
94,0,2.5,10,1,29,1,1,0,0,0.52,0.12,1,0,0,0,0,1,0,1,0,0,0
95,1,16.8,70,1,30,1,8,3,0,1.25,0.13,0,1,0,1,0,0,0,0,1,0,0
96,1,1,4,1,50,0,8,3,1,1.5,0.5,0,0,1,0,0,0,0,0,1,0,0
97,0,10.5,25,1,37,0,4,2,0,0.85,0.2,0,1,0,1,0,0,0,0,0,0,1
98,0,3,20,1,30,0,5,3,1,3.2,0.3,1,0,0,1,0,0,0,0,0,1,0
99,0,15,10,1,35,1,5,4,1,1.62,0.4,1,1,1,0,0,0,0,1,0,0,0
100,1,10,30,0,29,0,3,1,0,0.65,0.1,1,0,0,1,0,0,0,1,0,0,0
101,0,2.5,10,0,44,0,8,5,1,1.7,0.1,1,1,0,0,1,0,0,0,1,0,0
102,0,8.5,20,1,52,0,8,4,1,5,0.4,1,0,1,0,0,0,0,0,0,1,0
103,1,10,15,1,39,0,6,3,1,2.3,0.8,0,0,1,0,0,0,0,0,1,0,0
104,0,17,50,0,35,0,4,2,0,1.25,0.15,0,1,0,1,0,0,0,0,0,0,1
105,0,5,10,1,32,0,3,0,1,2,0.05,1,0,0,1,0,0,0,0,0,1,0
106,0,5,15,0,29,0,2,0,0,1.2,0.1,1,0,0,1,0,0,0,1,0,0,0
107,0,1,5,1,37,0,5,3,1,2.5,0.5,0,0,1,0,0,0,0,0,0,1,0
108,1,7.5,23,0,28,1,6,2,0,1,0.1,0,1,0,0,1,0,0,1,0,0,0
109,1,14.5,30,1,30,0,3,1,0,0.95,0.15,0,1,0,1,0,0,0,1,0,0,0
110,0,4.2,8,0,29,0,2,0,0,1.2,0.1,0,0,0,1,0,0,0,0,1,0,0
111,0,1.5,5,1,28,0,2,0,0,0.9,0.1,1,0,0,1,0,0,0,1,0,0,0
112,0,3.5,30,1,35,0,7,3,1,1.8,0.12,1,0,0,1,0,0,0,0,1,0,0
113,1,12.8,20,1,31,0,3,1,1,2.3,0.12,1,0,0,1,0,0,0,0,0,1,0
114,0,4,10,1,34,0,6,2,1,1.5,0.05,1,0,0,1,0,0,0,0,1,0,0
115,1,10,15,1,28,1,1,0,0,0.56,0.1,0,0,0,1,0,0,0,0,0,0,1
116,0,8.3,40,1,18,1,8,5,0,0.45,0,1,0,0,0,0,0,1,0,0,0,1
117,0,5.1,12,1,25,1,1,0,0,0.55,0.08,1,0,0,1,0,0,0,1,0,0,0
118,0,3,8,1,37,0,8,3,1,1.7,0.2,1,0,0,1,0,0,0,0,1,0,0
119,1,14.2,25,1,25,1,1,0,0,0.75,0.075,1,0,0,1,0,0,0,0,0,0,1
120,0,7,30,1,31,0,3,0,1,1.99,0.2,0,1,0,1,0,0,0,0,1,0,0
121,1,6.7,15,1,36,0,4,1,1,2.1,0.1,0,1,0,1,0,0,0,0,1,0,0
122,0,6.3,14,1,25,1,9,5,0,0.45,0.025,0,0,0,1,0,0,0,1,0,0,0
123,0,1.2,5,0,29,0,4,2,0,1.3,0.03,1,1,0,1,0,0,0,0,1,0,0
124,0,6.5,15,1,22,1,8,4,1,1.5,1,1,0,1,0,0,0,0,1,0,0,0
125,0,4.5,12,1,23,1,8,4,0,0.6,0,1,1,0,0,0,0,1,0,0,0,1
126,0,15,13,1,37,0,6,3,0,0.85,0.04,0,1,0,1,0,0,0,1,0,0,0
127,1,18,46,1,35,0,6,3,0,1.5,0.8,1,1,0,1,0,0,0,0,1,0,0
128,1,13.6,35,0,30,0,6,3,0,1,0.6,0,0,1,0,0,0,0,0,1,0,0
129,1,5.4,10,0,27,1,5,0,0,1.1,0.1,1,0,0,1,0,0,0,1,0,0,0
130,0,8.2,30,1,38,0,5,2,1,1.923,0.12,1,1,0,0,1,0,0,0,0,1,0
131,0,14,45,1,32,0,3,2,0,1.35,0.1,1,1,0,1,0,0,0,0,1,0,0
132,1,4.6,7,1,30,1,1,0,0,0.65,0.05,1,0,0,1,0,0,0,0,0,0,1
133,1,5,6,1,33,0,3,0,1,5,1,1,0,1,0,0,0,0,0,0,1,0
134,1,1.3,5,1,60,0,14,9,1,4,1,0,0,0,0,0,0,1,0,0,1,0
135,1,3,10,1,34,0,5,2,1,3,0.4,1,1,1,0,0,0,0,0,0,1,0
136,0,4,15,1,35,0,4,1,1,3.2,0.1,0,1,0,0,1,0,0,0,0,1,0
137,0,2,15,1,49,0,16,10,0,0.75,0.1,1,1,0,0,1,0,0,0,0,0,1
138,1,5,45,1,35,0,4,2,0,1.8,0.07,0,1,0,1,0,0,0,0,1,0,0
139,1,5,15,1,49,0,6,3,0,1.5,0.2,1,0,0,1,0,0,0,1,0,0,0
140,1,16,45,1,33,1,3,1,0,0.85,0.06,0,0,0,0,1,0,0,1,0,0,0
141,1,3,15,1,56,0,28,6,1,2.8,0.4,1,1,1,0,0,0,0,0,0,1,0
142,1,4.5,15,0,31,0,4,1,0,1.25,0.3,1,1,0,0,0,1,0,0,1,0,0
143,0,2,15,1,35,0,3,0,0,1.4,0.1,1,0,0,1,0,0,0,0,1,0,0
144,1,5.4,15,1,24,1,1,0,0,1.2,0.15,0,1,0,1,0,0,0,0,1,0,0
145,0,15,35,0,23,1,5,2,0,0.4,0.4,0,1,0,0,1,0,0,1,0,0,0
146,0,1.5,5,1,33,0,4,1,1,1,0.1,1,0,0,0,1,0,0,0,1,0,0
147,0,17,50,1,31,0,3,1,0,0.7,0.6,1,1,1,0,0,0,0,1,0,0,0
148,0,1,5,1,41,0,7,5,0,0.75,0.1,1,0,0,1,0,0,0,0,1,0,0
149,1,8.6,25,0,28,0,2,0,0,1.6,0.15,1,0,1,0,0,0,0,0,1,0,0
150,1,7,20,1,32,0,2,0,1,2.996,0.2,1,0,1,0,0,0,0,0,0,1,0
151,1,10,20,1,35,0,4,2,1,2.5,0.5,1,0,1,0,0,0,0,0,1,0,0
152,0,3,14,1,33,0,2,0,0,1.2,0.2,1,0,0,1,0,0,0,0,1,0,0
153,1,3.5,25,0,27,1,1,0,0,0.4,0,1,0,0,0,0,0,1,1,0,0,0
154,0,0.3,3,1,34,0,6,3,0,1.45,0.1,0,0,0,1,0,0,0,0,1,0,0
155,1,8,20,1,29,0,5,2,1,3,0.2,0,0,0,1,0,0,0,0,0,1,0
156,1,15.5,45,1,38,0,4,1,1,2.2,0.2,1,0,0,1,0,0,0,0,1,0,0
157,1,2,15,1,42,0,8,4,0,0.8,0.2,1,1,0,1,0,0,0,1,0,0,0
158,1,15,30,1,25,1,1,0,0,1.35,0.06,0,0,0,0,1,0,0,0,1,0,0
159,1,8,30,1,26,1,2,0,0,0.45,0.08,0,0,0,1,0,0,0,1,0,0,0
160,1,1,4,1,32,1,1,0,0,0.45,0.07,1,1,0,1,0,0,0,1,0,0,0
161,1,14.3,40,1,38,0,6,2,0,1.8,0.12,1,0,0,1,0,0,0,0,1,0,0
162,1,2,20,1,34,0,4,2,1,3.7,0.6,0,0,0,1,0,0,0,0,0,1,0
163,1,19,45,0,33,0,10,6,0,1.3,0.5,0,0,1,0,0,0,0,0,1,0,0
164,1,1,2,1,41,0,5,3,0,1.3,0.075,1,0,0,1,0,0,0,0,1,0,0
165,0,9,10,1,40,0,6,3,0,0.6,0.07,0,0,0,1,0,0,0,0,0,0,1
166,1,12.5,30,1,35,0,4,1,0,1.5,0.06,1,0,0,1,0,0,0,0,1,0,0
167,1,10,20,1,34,0,5,3,0,0.9,0.1,1,1,0,1,0,0,0,0,1,0,0
168,1,10,25,1,35,0,2,0,1,3.453,0.2,1,1,0,1,0,0,0,0,0,1,0
169,0,15,45,1,39,0,9,4,0,0.783,0.1,1,1,0,1,0,0,0,0,0,0,1
170,0,3.8,10,1,37,1,1,0,0,1.4,0.035,1,1,0,1,0,0,0,0,1,0,0
171,1,11.5,30,1,35,0,3,1,1,1.5,0.15,0,0,0,1,0,0,0,0,0,1,0
172,0,4.9,17,0,24,0,2,0,0,0.85,0.06,0,0,0,0,0,1,0,1,0,0,0
173,1,5.2,18,0,30,0,4,2,0,1.5,0.15,1,1,0,0,0,0,1,1,0,0,0
174,1,9.4,24,1,37,0,6,4,1,1.121,0.08,1,1,0,1,0,0,0,0,1,0,0
175,0,5,20,1,34,1,1,0,0,1.25,0.09,0,0,0,1,0,0,0,1,0,0,0
176,1,10,40,0,28,0,3,1,0,0.85,0.124,1,0,0,0,1,0,0,1,0,0,0
177,1,18.4,55,1,29,0,3,0,1,2,0.07,0,0,0,1,0,0,0,0,1,0,0
178,1,5,15,1,31,1,1,0,0,1.5,0.07,0,0,0,1,0,0,0,1,0,0,0
179,1,3,2,0,35,0,4,2,0,0.98,0.18,0,1,0,0,1,0,0,1,0,0,0
180,0,2,8,1,32,0,3,1,0,1.238,1,1,1,0,1,0,0,0,1,0,0,0
181,1,7.5,16,0,31,0,5,3,0,1.2,0.1,0,1,0,1,0,0,0,0,1,0,0
182,0,15,30,1,25,1,9,6,0,0.75,0.503,1,0,0,1,0,0,0,1,0,0,0
183,1,10.8,28,0,24,1,1,0,0,0.5,0.12,0,1,0,0,0,1,0,1,0,0,0
184,1,8.2,25,0,24,1,6,3,0,0.55,0.08,1,0,0,0,0,1,0,1,0,0,0
185,1,10,30,0,25,1,1,0,0,0.67,0.1,1,1,0,1,0,0,0,1,0,0,0
186,1,8.4,18,1,36,0,4,2,1,3,0.08,0,1,1,0,0,0,0,0,0,1,0
187,1,4,15,0,30,0,8,3,0,1.2,0.3,0,1,0,1,0,0,0,0,1,0,0
188,1,8,40,1,32,0,3,1,0,1.24,0.2,0,0,0,1,0,0,0,0,1,0,0
189,0,1.9,4,1,32,0,2,0,1,1.35,0.3,0,1,0,1,0,0,0,0,1,0,0
190,0,5,15,1,31,1,1,0,0,0.7,0.15,1,0,0,1,0,0,0,0,1,0,0
191,0,7.6,20,1,29,0,5,2,0,0.7,0.05,1,0,0,1,0,0,0,1,0,0,0
192,1,3.4,10,1,30,1,3,1,0,0.6,0.15,1,0,0,1,0,0,0,1,0,0,0
193,0,2.3,10,1,35,0,4,2,1,2.2,0.35,0,0,1,0,0,0,0,0,1,0,0
194,1,4.5,12,0,29,1,1,0,0,0.75,0.07,1,1,0,0,0,1,0,1,0,0,0
195,1,2.5,30,0,28,0,3,0,0,1.5,0.2,0,0,0,1,0,0,0,1,0,0,0
196,0,1.2,6,1,33,1,1,0,0,0.45,0.06,0,1,0,1,0,0,0,1,0,0,0
197,0,7.6,20,0,25,1,6,0,0,1.3,0.1,1,0,0,1,0,0,0,0,1,0,0
198,1,4.5,15,1,29,0,3,0,0,1.78,0.08,0,0,0,1,0,0,0,0,1,0,0
199,1,2.5,6,0,25,0,4,1,0,0.75,0.002,1,1,0,0,1,0,0,1,0,0,0
200,0,5,17,1,32,0,8,4,0,1.7,0.15,0,0,0,1,0,0,0,1,0,0,0
201,0,2,8,1,44,0,13,8,0,0.52,0.05,1,1,0,1,0,0,0,0,0,0,1
202,0,1.5,7,1,30,1,1,0,0,0.88,0.2,1,0,0,1,0,0,0,1,0,0,0
203,1,17,45,0,31,0,4,1,0,0.75,0.1,1,1,0,1,0,0,0,1,0,0,0
204,0,2,8,0,29,0,3,0,0,0.6,0.1,1,1,0,1,0,0,0,1,0,0,0
205,1,7,30,0,29,0,4,2,0,0.75,0.12,1,0,0,1,0,0,0,1,0,0,0
206,1,1,10,0,29,0,3,1,1,1.5,0,1,1,0,0,0,0,1,1,0,0,0
207,1,9,15,1,34,0,4,2,1,3.25,0.3,0,1,0,1,0,0,0,0,0,1,0
208,1,8.5,25,0,32,0,5,3,1,1.52,0.4,1,0,1,0,0,0,0,1,0,0,0
209,0,5,35,1,43,0,10,7,1,1.4,0.4,1,1,1,0,0,0,0,1,0,0,0
210,1,3.4,15,0,28,1,3,1,0,1.5,0.08,0,0,0,1,0,0,0,1,0,0,0
211,0,3.4,15,1,24,1,1,0,0,1.6,0.4,1,0,0,1,0,0,0,1,0,0,0
212,1,5.5,60,1,34,0,2,1,0,1,0.3,1,1,0,1,0,0,0,0,1,0,0
213,1,1.6,15,1,50,0,9,5,1,1.83,0.001,1,1,0,1,0,0,0,0,1,0,0
214,1,5,10,1,28,1,9,5,0,0.85,0.1,1,1,0,1,0,0,0,1,0,0,0
215,1,7.5,30,1,35,0,5,2,0,0.7,0.08,0,1,0,1,0,0,0,1,0,0,0
216,1,6,15,1,32,0,10,6,0,0.9,0.2,1,1,0,1,0,0,0,0,1,0,0
217,1,3.5,15,0,42,0,5,3,1,1.5,0.144,0,1,0,0,1,0,0,0,1,0,0
218,0,5,10,1,55,0,4,2,1,1.5,0.15,1,1,0,1,0,0,0,0,1,0,0
219,1,4,18,1,31,0,3,0,0,1.2,0.3,1,1,0,1,0,0,0,0,1,0,0
220,1,6.5,35,0,28,0,4,1,0,0.6,0,1,1,0,0,0,0,1,1,0,0,0
221,0,6.5,25,0,34,0,3,1,1,1.5,0.4,0,1,0,1,0,0,0,0,1,0,0
